key;ref;value;
title;Clindaseptin, your partner for<br>first line antibiotic prescription;Clindaseptin, votre partenaire pour<br>l'antibiothérapie de première intention
bloc1_title;Wide distribution in fluids;Large distribution dans les compartiments liquidiens
bloc2_title;Spectrum including anaerobes,<br>appropriate for:;Spectre incluant les anaérobies,<br>indiqué pour le traitement des :
bloc2_list;Wounds;Plaies
bloc2_list;Abscesses;Abcès
bloc2_list;Bones infections;Infections osseuses
bloc2_list;Dental infections;Infections bucco-dentaires
bloc3_title;Good antibiotic prescription:;Gamme large
bloc3_list;Accurate dosage;Comprimés de 75 et 150 mg
bloc3_list;A 22 ml vial treats a 5 kg animal for 10 days;Flacon de 22 ml dosé à 20 mg/ml
